,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
79,Quang Ngai,VN,76.87,clear sky,15.12,108.8,Central Hotel
80,Lompoc,US,70.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
81,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.08,Scoop Guest House
82,Meulaboh,ID,76.03,light rain,4.14,96.13,Kost Pria
83,East London,ZA,54.27,broken clouds,-33.02,27.91,Tu Casa
84,Chake Chake,TZ,72.28,few clouds,-5.25,39.77,Hotel Archipelago
85,Nampula,MZ,68.0,scattered clouds,-15.12,39.27,Tacab Residencial
86,Arraial Do Cabo,BR,73.4,clear sky,-22.97,-42.03,Pousada Porto Praia
88,Bealanana,MG,57.18,broken clouds,-14.55,48.73,
89,Faya,SA,69.8,few clouds,18.39,42.45,مقبرة ال مجمل
90,Jamestown,US,66.99,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
91,Skegness,GB,57.0,overcast clouds,53.14,0.34,The Royal Hotel
92,Castro,BR,62.31,clear sky,-24.79,-50.01,CHACARA BAILLY
93,Leh,IN,55.38,clear sky,34.17,77.58,Hotel Ladakh Greens
94,Mount Gambier,AU,55.4,broken clouds,-37.83,140.77,Commodore on the Park
95,Sorata,BO,51.67,scattered clouds,-15.77,-68.63,El Encanto Sorata
96,Voh,NC,74.89,broken clouds,-20.97,164.7,Le gîte du Koniambo
97,Dingle,PH,78.71,overcast clouds,11.0,122.67,Camp Pasica
98,Tukrah,LY,76.3,clear sky,32.53,20.58,استراحة لاقروتا
99,Ndioum,SN,84.2,clear sky,16.51,-14.65,l'hôtel samassa
100,Marathon,US,71.6,scattered clouds,44.9,-89.77,
101,Pioner,RU,55.4,light intensity shower rain,55.32,85.95,Park-hotel Akvarium
102,Esperance,AU,48.2,overcast clouds,-33.87,121.9,Hospitality Esperance
103,Bredasdorp,ZA,42.8,light rain,-34.53,20.04,Bredasdorp Country Manor
104,Bluff,NZ,53.55,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
105,Coquimbo,CL,57.2,overcast clouds,-29.95,-71.34,Hotel San Juan
106,Heinola,FI,53.6,few clouds,61.21,26.04,Hotelli Valo
107,Tyulgan,RU,64.44,light rain,52.34,56.17,Gostinitsa Zhemchuzhinka
108,Henties Bay,,52.0,clear sky,-22.12,14.28,Fishermans Guest House
109,Yamada,JP,74.01,light rain,39.47,141.95,Iroha-ya Inn
110,Le Port,RE,68.0,light intensity drizzle rain,-20.94,55.29,Villa Maido
111,Ponta Do Sol,PT,71.6,scattered clouds,32.67,-17.1,Hotel do Campo
112,Portland,US,79.0,scattered clouds,45.52,-122.68,Portland Marriott City Center
113,Sukhobezvodnoye,RU,51.28,scattered clouds,57.05,44.89,
114,Jining,CN,82.99,clear sky,35.41,116.58,Yunhe Star Hotel
115,Hun,LY,80.53,clear sky,29.13,15.95,Alrwasi Hotel
116,Noumea,NC,69.8,overcast clouds,-22.28,166.46,Hôtel Le Lagon
117,Vila Velha,BR,73.4,few clouds,-20.33,-40.29,Hotel Vitória Palace
118,Alofi,NU,80.6,scattered clouds,-19.06,-169.92,Taloa Heights
119,Severobaykalsk,RU,53.19,light rain,55.65,109.32,"Гостиница ""Чайка"""
120,Caravelas,BR,72.28,clear sky,-17.71,-39.25,Pousada dos Navegantes
121,Barrow,US,37.4,haze,71.29,-156.79,King Eider Inn
122,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
123,Namatanai,PG,83.5,scattered clouds,-3.67,152.43,Namatanai Hotel
124,Kikwit,CD,77.83,light rain,-5.04,18.82,Centre D'Accueil Protestant
125,Mareeba,AU,71.01,overcast clouds,-17.0,145.43,Trinity Plains Tourist Park
126,Prince Rupert,CA,59.0,broken clouds,54.32,-130.32,Crest Hotel
127,Fairbanks,US,64.0,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
129,Farah,AF,62.35,clear sky,32.5,62.5,
130,Norman Wells,CA,57.2,few clouds,65.28,-126.83,Heritage Hotel
131,Nikolskoye,RU,55.4,light intensity shower rain,59.7,30.79,Tourist House - Sablino
132,Pevek,RU,38.84,overcast clouds,69.7,170.31,Severnoye Zoloto
134,Beterou,BJ,71.62,scattered clouds,9.2,2.26,Monastère de Kokoubou
135,Haines Junction,CA,57.24,broken clouds,60.75,-137.51,Parkside Inn
136,Kodiak,US,53.6,light rain,57.79,-152.41,Best Western Kodiak Inn and Convention Center
137,Beian,NO,50.0,light intensity shower rain,63.66,9.57,Rønsholmen Brygger
138,Lokosovo,RU,52.5,broken clouds,61.13,74.82,
139,Brasileia,BR,87.87,clear sky,-11.02,-68.75,Pousada Tobias
140,Saldanha,ZA,41.0,few clouds,-33.01,17.94,Blue Bay Lodge
141,Kontagora,NG,71.51,broken clouds,10.4,5.47,City Gate Inn
142,Mahebourg,MU,69.8,broken clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
143,Pacific Grove,US,69.8,haze,36.62,-121.92,Lovers Point Inn
144,Luanda,AO,68.0,few clouds,-8.84,13.23,EPIC SANA Luanda
145,Paita,PE,64.58,clear sky,-5.09,-81.11,Hotel Náutico de Paita
146,Maniwaki,CA,53.92,moderate rain,46.38,-75.97,Centre Chateau Logue
147,Port Keats,AU,71.85,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
148,Port Elizabeth,ZA,46.4,light rain,-33.92,25.57,39 On Nile Guest House
149,Victoria,HK,84.0,clear sky,22.29,114.16,Mini Hotel Central
150,Oranjemund,,51.13,clear sky,-28.55,16.43,Fisherman's Cove
151,Flinders,AU,66.0,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
152,Atuona,PF,79.0,light rain,-9.8,-139.03,Villa Enata
153,Vallenar,CL,60.55,scattered clouds,-28.57,-70.76,Humacao Bed & Breakfast
154,Pemangkat,ID,76.15,broken clouds,1.17,108.97,Kost H.Syamsuddin
155,Batagay-Alyta,RU,50.59,overcast clouds,67.8,130.41,
156,Khandyga,RU,54.39,overcast clouds,62.67,135.6,Apel'sin
158,Sindon,PH,76.75,overcast clouds,17.06,122.02,Umengan Clan
159,Chicama,PE,64.13,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
160,Mount Isa,AU,71.6,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
161,Sur,OM,83.37,scattered clouds,22.57,59.53,Sur Plaza Hotel
162,Seddon,AU,61.0,overcast clouds,-37.81,144.89,AKOM AT DOCKLANDS
163,Thompson,CA,60.8,broken clouds,55.74,-97.86,Burntwood Hotel
164,Sayyan,YE,62.28,few clouds,15.17,44.32,الاستاذة مروى اليوسفي
165,Kosh-Agach,RU,35.02,few clouds,50.0,88.67,Fermerskiy Dom v Kosh-Agache
166,Lorengau,PG,83.77,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
167,Kaili,ID,70.74,overcast clouds,-3.46,120.21,
168,Starychi,UA,64.4,clear sky,49.98,23.56,Motelʹ Kurortnyy
169,Sambava,MG,69.03,few clouds,-14.27,50.17,Melrose
170,Luderitz,,52.14,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
171,Fortuna,US,66.99,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
172,Severo-Kurilsk,RU,49.93,overcast clouds,50.68,156.12,Kak Doma
173,Sterling,US,84.2,broken clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
174,Los Llanos De Aridane,ES,73.4,light rain,28.66,-17.92,Valle Aridane
175,Khatanga,RU,49.84,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
176,Iqaluit,CA,57.2,broken clouds,63.75,-68.51,Frobisher Inn
177,Tuktoyaktuk,CA,46.4,scattered clouds,69.45,-133.04,End of The Road Ltd.
179,Upernavik,GL,40.64,clear sky,72.79,-56.15,Gina's Guesthouse - Upernavik
180,Lakota,CI,69.12,broken clouds,5.85,-5.69,Aziz bah divers
181,Tchollire,CM,70.07,overcast clouds,8.4,14.17,"Auberge ""l'amicale"""
182,Ngunguru,NZ,60.6,clear sky,-35.62,174.5,Pacific Rendezvous Motel Resort
183,Itaueira,BR,82.08,few clouds,-7.6,-43.03,Hotel Pousada Luz
184,Guiratinga,BR,80.73,clear sky,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
185,Berlevag,NO,50.38,overcast clouds,70.86,29.09,Kvitbrakka
186,Bengkulu,ID,75.33,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
187,Carutapera,BR,78.15,scattered clouds,-1.2,-46.02,Lidera
188,Camacha,PT,69.8,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
189,Nanortalik,GL,50.09,overcast clouds,60.14,-45.24,"NTS Rooms, Nanortalik"
190,Visby,SE,61.0,scattered clouds,57.64,18.3,Best Western Solhem Hotel Visby
191,Faanui,PF,77.94,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
192,Gat,IL,82.0,clear sky,31.61,34.76,רגע בנחת
193,Sitka,US,55.4,light rain,57.05,-135.33,Westmark Sitka
194,Sorland,NO,49.93,overcast clouds,67.67,12.69,Sjybrygga fiskecamp
195,Yumen,CN,51.26,clear sky,40.28,97.2,
196,Boa Vista,BR,82.4,shower rain,2.82,-60.67,Aipana Plaza Hotel
197,Palmer,US,77.0,broken clouds,42.16,-72.33,Wedgewood Motel
198,Ilulissat,GL,46.4,scattered clouds,69.22,-51.1,Hotel Arctic
199,Antsohihy,MG,65.88,clear sky,-14.88,47.99,Hotel de Ville
200,Eureka,US,69.01,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
201,Port Blair,IN,81.5,few clouds,11.67,92.75,Fortune Resort Bay Island
202,Hervey Bay,AU,71.01,few clouds,-25.3,152.85,Shelly Bay Resort
203,Nakhon Phanom,TH,75.72,overcast clouds,17.41,104.78,The River Hotel Nakhonphanom
204,Jaciara,BR,80.83,clear sky,-15.97,-54.97,Taba Hotel
205,Ambilobe,MG,63.45,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
206,Pasni,PK,80.94,broken clouds,25.26,63.47,3G hotel pasni
207,Bardiyah,LY,74.93,clear sky,31.76,25.09,بورتو بردية
208,Salalah,OM,77.0,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
209,San Quintin,MX,74.82,clear sky,30.48,-115.95,Old Mill Hotel
210,Saskylakh,RU,53.37,overcast clouds,71.92,114.08,
211,Mogosesti,RO,73.4,clear sky,47.03,27.53,Camping A & A
212,Deputatskiy,RU,36.97,overcast clouds,69.3,139.9,Baza Otdykha
213,Labuhan,ID,74.39,overcast clouds,-6.88,112.21,bador sepret
214,Leningradskiy,RU,37.15,overcast clouds,69.38,178.42,
215,Huangmei,CN,76.82,clear sky,30.19,116.03,Tianxiachan Hotel
216,Hobart,AU,62.01,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
217,Saint-Raphael,HT,76.86,scattered clouds,19.43,-72.2,
219,Srednekolymsk,RU,46.65,scattered clouds,67.45,153.68,
220,Kysyl-Syr,RU,54.97,overcast clouds,63.9,122.76,
221,Tuatapere,NZ,55.58,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
222,Buraydah,SA,84.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
223,Bambous Virieux,MU,70.0,broken clouds,-20.34,57.76,Casa Tia Villa
224,Harper,LR,75.72,light rain,4.38,-7.72,Screensaver
225,Sampit,ID,73.56,few clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
226,Airai,TL,61.12,scattered clouds,-8.93,125.41,Juvinal Martin
227,Hami,CN,65.39,scattered clouds,42.8,93.45,Laoyutang Resort
228,Tasiilaq,GL,44.6,light rain,65.61,-37.64,The Red House
229,Avera,US,86.0,clear sky,33.19,-82.53,
230,Dhidhdhoo,MV,83.03,overcast clouds,6.88,73.1,Dhidhoo beach
231,Lahij,YE,87.67,broken clouds,13.17,44.58,
232,Tura,IN,73.71,broken clouds,25.52,90.22,Hotel RIKMAN Continental
233,Nicoya,CR,86.0,scattered clouds,10.15,-85.45,Guayacan Real
